,AÑO,DISTRITO,TOTAL
0,2022,ARGANZUELA,1127
1,2022,BARAJAS,371
2,2022,CARABANCHEL,1619
3,2022,CENTRO,2698
4,2022,CHAMARTIN,1187
5,2022,CHAMBERI,1233
6,2022,CIUDAD LINEAL,1252
7,2022,FUENCARRAL,1476
8,2022,FUERA DEL TÉRMINO MUNICIPAL,3
9,2022,FUERA TERMINO MUNICIPAL,68
10,2022,HORTALEZA,1127
11,2022,LATINA,1488
12,2022,MONCLOA,1152
13,2022,MORATALAZ,599
14,2022,PUENTE VALLECAS,1810
15,2022,RETIRO,828
16,2022,SALAMANCA,1336
17,2022,SAN BLAS,994
18,2022,TETUAN,1284
19,2022,USERA,988
20,2022,VICALVARO,500
21,2022,VILLA DE VALLECAS,942
22,2022,VILLAVERDE,1299
23,2023,ARGANZUELA,1214
24,2023,BARAJAS,472
25,2023,CARABANCHEL,1887
26,2023,CENTRO,3134
27,2023,CHAMARTIN,1338
28,2023,CHAMBERI,1386
29,2023,CIUDAD LINEAL,1519
30,2023,FUENCARRAL,1629
31,2023,FUERA DEL TÉRMINO MUNICIPAL,3
32,2023,FUERA TERMINO MUNICIPAL,58
33,2023,HORTALEZA,1349
34,2023,LATINA,1762
35,2023,MONCLOA,1420
36,2023,MORATALAZ,663
37,2023,PUENTE VALLECAS,2065
38,2023,RETIRO,867
39,2023,SALAMANCA,1554
40,2023,SAN BLAS,1248
41,2023,TETUAN,1402
42,2023,USERA,1178
43,2023,VICALVARO,570
44,2023,VILLA DE VALLECAS,980
45,2023,VILLAVERDE,1214
