,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,peliLarga
2692,s2693,Movie,LA Originals,,,"United States, Argentina","April 10, 2020",2020,TV-MA,92 min,"Documentaries, International Movies, Music & Musicals","Photographer Estevan Oriol and artist Mister Cartoon turned their Chicano roots into gritty art, impacting street culture, hip hop and beyond.",0
1438,s1439,Movie,Tony Parker: The Final Shot,Florent Bodin,Tony Parker,France,"January 6, 2021",2020,TV-14,99 min,"Documentaries, International Movies, Sports Movies","This film examines the background and career of Tony Parker, whose determination led him to become arguably the greatest French basketball player.",0
2652,s2653,Movie,Circus of Books,Rachel Mason,,United States,"April 22, 2020",2020,TV-MA,87 min,"Documentaries, LGBTQ Movies","For decades, a nice Jewish couple ran Circus of Books, a porn shop and epicenter for gay LA. Their director daughter documents their life and times.",0
2608,s2609,Movie,Murder to Mercy: The Cyntoia Brown Story,,,United States,"April 29, 2020",2020,TV-MA,97 min,Documentaries,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",0
2604,s2605,Movie,A Secret Love,Chris Bolan,,United States,"April 29, 2020",2020,TV-14,83 min,"Documentaries, LGBTQ Movies","Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",0
1518,s1519,Movie,Ma Rainey's Black Bottom: A Legacy Brought to Screen,,"Glynn Turman, Denzel Washington, George C. Wolfe, Branford Marsalis, Viola Davis, Imani Perry, Michael Potts, Coleman Domingo, Constanza Romero, August Wilson, Todd Black, Dusan Brown, Taylour Paige, Ann Roth, Chadwick Boseman",,"December 18, 2020",2020,TV-PG,32 min,"Documentaries, Music & Musicals","Viola Davis, Denzel Washington, George C. Wolfe and more share the heart, soul and history that brought August Wilson’s timeless play to the screen.",0
1577,s1578,Movie,Emicida: AmarElo - It’s All For Yesterday,,Emicida,Brazil,"December 8, 2020",2020,TV-MA,90 min,"Documentaries, International Movies, Music & Musicals","Between scenes from his concert in São Paulo's Theatro Municipal, rapper and activist Emicida celebrates the rich legacy of Black Brazilian culture.",0
1558,s1559,Movie,Giving Voice,"James D. Stern, Fernando Villena","Viola Davis, Denzel Washington, Stephen Henderson, Freedom Martin, Nia Sarfo, Cody Merridith, Gerardo Navarro, Aaron Guy, Callie Holley",United States,"December 11, 2020",2020,PG-13,91 min,Documentaries,"Six ambitious student actors audition for the prestigious August Wilson Monologue Competition, culminating in a riveting final round on Broadway.",0
1575,s1576,Movie,André & his olive tree,Josiah Ng,André Chiang,Singapore,"December 8, 2020",2020,TV-PG,104 min,"Documentaries, International Movies","As he prepares to close his restaurant, Michelin-starred Chef André Chiang embarks on a personal and emotional journey of reflection.",0
2559,s2560,Movie,Becoming,Nadia Hallgren,Michelle Obama,United States,"May 6, 2020",2020,PG,89 min,Documentaries,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming.""",0
1509,s1510,Movie,"Ariana grande: excuse me, i love you",Paul Dugdale,Ariana Grande,United States,"December 21, 2020",2020,TV-MA,98 min,"Documentaries, Music & Musicals",Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,0
